nr;code;description;augmentedDescription
517;240900;Soft surface floor covering;"Soft surface floor covering Floor covering is a term to generically describe any finish material applied over a floor structure to provide a walking surface. Both terms are used interchangeably but floor covering refers more to loose-laid materials.
Carpet is a soft floor covering made of bound carpet fibers or stapled fibers. Carpeting refers to wall-to-wall coverage, whereas a rug is simply used to cover a space. This type of flooring is typically used indoors and can be used in both high and low traffic areas. It typically lasts for 15-18 years before it needs to be replaced. The quality of a carpet is usually measured in face weight, or how many fibers there are per square inch. The higher the face weight the more plush a carpet will feel.
Carpets come in a variety of materials including wool, nylon, olefin and polyester.
There are different types of carpet like twists, which is commonly referred to as a berber. Twist carpeting is composed of multiple twisted fibers set into the carpet backing. It is typically used in low traffic areas. Another type of carpeting is looped carpets, which are composed of looped fibers set into the carpet backing. This type of carpeting is typically used in high traffic areas as it is easy to clean.
"
518;320512;Sewing machines;"Sewing machines A sewing machine is a machine used to stitch fabric and other materials together with thread. Sewing machines were invented during the first Industrial Revolution to decrease the amount of manual sewing work performed in clothing companies. Since the invention of the first working sewing machine, generally considered to have been the work of Englishman Thomas Saint in 1790,[1] the sewing machine has greatly improved the efficiency and productivity of the clothing industry.
Home sewing machines are designed for one person to sew individual items while using a single stitch type. In a modern sewing machine the fabric easily glides in and out of the machine without the inconvenience of needles and thimbles and other such tools used in hand sewing, automating the process of stitching and saving time.
Industrial sewing machines, by contrast to domestic machines, are larger, faster, and more varied in their size, cost, appearance, and task.
"
519;690115;Personal digital assistants;"Personal digital assistants Short for personal digital assistant, a handheld device that combines computing, telephone/fax, Internet and networking features. A typical PDA can function as a cellular phone, fax sender, Web browser and personal organizer. PDAs may also be referred to as a palmtop, hand-held computer or pocket computer. A personal digital assistant (PDA), also known as a handheld PC,[1][2]is a mobile devicethat functions as a personal information manager. PDAs were largely discontinued in the early 2010s after the widespread adoption of highly capable smartphones, in particular those based on iOS and Android.[3]
Nearly all PDAs have the ability to connect to the Internet. A PDA has an electronic visual display, letting it include a web browser. All models also have audio capabilities, allowing usage as a portable media player, and also enabling most of them to be used as telephones. Most PDAs can access the Internet, intranets or extranets via Wi-Fi or Wireless Wide Area Networks. Sometimes, instead of buttons, PDAs will employ touchscreen technology.The technology industry has recently recycled the term personal digital assistance. The term is more commonly used for software that identifies a user’s voice to reply to the queries.
The first PDA, the Organizer, was released in 1984 by Psion, followed by Psion's Series 3, in 1991. The latter began to resemble the more familiar PDA style, including a full keyboard.[4][5] The term PDA was first used on January 7, 1992 by Apple Computer CEO John Sculley at the Consumer Electronics Show in Las Vegas, Nevada, referring to the Apple Newton.[6] In 1994, IBM introduced the first PDA with full telephone functionality, the IBM Simon, which can also be considered the first smartphone. Then in 1996, Nokia introduced a PDA with telephone functionality, the 9000 Communicator, which became the world's best-selling PDA. Another early entrant in this market was Palm, with a line of PDA products which began in March 1996.
"
520;300220;Dryers;"Dryers A clothes dryer, tumble dryer, drying machineor dryeris a powered household appliance that is used to remove moisture from a load of clothing, bedding and other textiles, usually shortly after they are washed in a washing machine. Clothes may also be dried by natural evaporation and, if available, sunlight, on an outdoor or indoor clothes line or clothes horse.
Many dryers consist of a rotating drum called a ""tumbler"" through which heated air is circulated to evaporate the moisture, while the tumbler is rotated to maintain air space between the articles. Using these machines may cause clothes to shrink or become less soft (due to loss of short soft fibers/lint). A simpler non-rotating machine called a ""drying cabinet"" may be used for delicate fabrics and other items not suitable for a tumble dryer.
"
521;490231;Repair to steering or front-end;"Repair to steering or front-end Maintenance, repair and operations(MRO) involves maintaining, repairing, and replacing if necessary devices, equipment, machinery, building infrastructure, and supporting utilities in industrial, business, governmental, and residential installations.[1][2]Over time, this has come to often include both scheduled and preventive maintenance as cost-effective practices. Scheduled inspections have also come to fall under MRO purview.
More recently, 'predictive maintenance' is being employed, which uses sensor data to monitor a system, then continuously evaluates it against historical trends to predict failure before it occurs.[3]
In aircraft maintenance, maintenance, repair and overhaul[4] (MRO) services also include inspection, rebuilding, alteration and the supply of spare parts, accessories, raw materials, adhesives, sealants, coatings and consumables for aircraft manufacturing and MRO.
The marine transportation,[5] offshore structures,[6]industrial plant/equipment and commercial facilities market sectors depend on scheduled or preventive paintmaintenance programmes to maintain and restore coatingsapplied to steel,[7] and also concrete and masonry assets in environments subject to attack from erosion, corrosion and environmental pollution. Steering is the collection of components, linkages, etc. which allows any vehicle(car, motorcycle, bicycle) to follow the desired course. An exception is the case of rail transport by which rail trackscombined together with railroad switches(and also known as 'points' in British English) provide the steering function. The primary purpose of the steering system is to allow the driver to guide the vehicle.
"
522;520521;Truck rental;"Truck rental A truckor lorryis a motor vehicle designed to transport cargo. Trucks vary greatly in size, power, and configuration  smaller varieties may be mechanically similar to some automobiles. Commercial trucks can be very large and powerful, and may be configured to mount specialized equipment, such as in the case of fire trucks and concrete mixers and suction excavators.
Modern trucks are largely powered by diesel engines, although small to medium size trucks with gasoline engines exist in the US, Canada, and Mexico. In the European Union, vehicles with a gross combination massof up to 3.5 t (7,700 lb) are known as light commercial vehicles, and those over as large goods vehicles. Renting, also known as hiring or letting, is an agreement where a payment is made for the temporary use of a good, service or property owned by another. A gross lease is when the tenant pays a flat rental amount and the landlordpays for all property charges regularly incurred by the ownership."
523;190926;Catered Affairs;Catered Affairs Cateringis the businessof providing food service at a remote site or a site such as a hotel, public house (pub), or other location. Catering has evolved to become an artisanal affair.
524;200516;Beer and ale at catered affairs;"Beer and ale at catered affairs Beer is one of the oldest[1][2][3] and most widely consumed[4]alcoholic drinks in the world, and the third most popular drink overall after water and tea.[5]Beer is brewedfrom cereal grains—most commonly from maltedbarley, though wheat, maize(corn), and riceare also used. During the brewing process, fermentation of the starch sugars in the wort produces ethanol and carbonation in the resulting beer.[6]Most modern beer is brewed with hops, which add bitterness and other flavours and act as a natural preservative and stabilizing agent. Other flavouring agents such as gruit, herbs, or fruits may be included or used instead of hops. In commercial brewing, the natural carbonation effect is often removed during processing and replaced with forced carbonation.[7]
Some of humanity's earliest known writings refer to the production and distribution of beer: the Code of Hammurabi included laws regulating beer and beer parlours,[8] and ""The Hymn to Ninkasi"", a prayer to the Mesopotamian goddess of beer, served as both a prayer and as a method of remembering the recipe for beer in a culture with few literate people.[9][10]
Beer is distributed in bottles and cans and is also commonly available on draught, particularly in pubs and bars. The brewing industry is a global business, consisting of several dominant multinational companies and many thousands of smaller producers ranging from brewpubs to regional breweries. The strength of modern beer is usually around 4% to 6% alcohol by volume (ABV), although it may vary between 0.5% and 20%, with some breweries creating examples of 40% ABV and above.[11] Beer forms part of the culture of many nations and is associated with social traditions such as beer festivals, as well as a rich pub culture involving activities like pub crawling and pub games such as bar billiards.
Various legal definitions of beer exist in different countries. Historically, the most famous of these was the Reinheitsgebot, which applied to parts of the Holy Roman Empire and Germany and required beer to be made from only water, hops, and barley. Today in Canada, the Canadian Government’s Food and Drug Regulations state that beer must have alcohol content that ranges from 1.1% to 8.6%, though it also includes a stipulation that it could be greater than 8.6% and labeled accordingly.[12] Beer in South Korea must have less than 25% ABV, which means that it has to be 25 mL of alcohol or less per 100 mL of solution, and can be considered ‘lite’ only if it has less than 30 kcal per 100ml. Additionally, beer in South Korea must use only water, hops, and starches (wheat, rice, barley, corn, or potato) as ingredients in the brewing process.[13]In Singapore, beer must have at minimum 1.0% alcohol by volume concentration at 20 °C. It is often brewed from a mixture of grains like malt, sugars or its equivalent, and hops or other vegetables. Ale is a type of beerbrewed using a warm fermentation method, resulting in a sweet, full-bodied and fruity taste.[1][2]Historically, the term referred to a drink brewed without hops.[3]
As with most beers, ale typically has a bittering agent to balance the sweetness of the malt and act as a preservative. Ale was originally bittered with gruit, a mixture of herbs or spices boiled in the wort before fermentation. Later, hops replaced gruit as the bittering agent.
"
525;200526;Wine at catered affairs;"Wine at catered affairs an alcoholic drink made from fermented grape juice. Wine (from Latin vinum) is an alcoholic beveragemade from grapes, generally Vitis vinifera, fermentedwithout the addition of sugars, acids, enzymes, water, or other nutrients.[1]
Yeast consumes the sugar in the grapes and converts it to ethanol and carbon dioxide. Different varieties of grapes and strains of yeasts produce different styles of wine. These variations result from the complex interactions between the biochemical development of the grape, the reactions involved in fermentation, the terroir, and the production process. Many countries enact legal appellations intended to define styles and qualities of wine. These typically restrict the geographical origin and permitted varieties of grapes, as well as other aspects of wine production. Wines not made from grapes include rice wine and fruit winessuch as plum, cherry, pomegranate and elderberry.
Wine has been produced for thousands of years. The earliest known traces of wine are from Georgia (c. 6000BC),[2][3][4][5] Iran (c. 5000 BC),[6][7] and Sicily (c. 4000BC)[8] although there is evidence of a similar alcoholic beverage being consumed earlier in China (c. 7000BC)[9][10][11].The earliest known winery is the 6,100-year-old Areni-1 winery in Armenia.[12][13] Wine reached the Balkans by 4500 BC and was consumed and celebrated in ancient Greece, Thrace and Rome. Throughout history, wine has been consumed for its intoxicating effects.[14][15][16]
Wine has long played an important role in religion. Red wine was associated with blood by the ancient Egyptians[17] and was used by both the Greek cult of Dionysus and the Romans in their Bacchanalia  Judaismalso incorporates it in the Kiddush and Christianity in the Eucharist.
"
526;450310;Car lease payments;Car lease payments A car lease is a method of obtaining a new or usedcar that involves only paying for a portion of the car'sactual cost as opposed to having to pay for the car in its entirety. So when you lease a new car you are only paying for the portion of the car you are using over the number of years in your lease agreement. the action or process of paying someone or something or of being paid. an amount paid or payable a thing that is borrowed, especially a sum of money that is expected to be paid back with interest.
527;280130;Kitchen and dining room linens;"Kitchen and dining room linens a room or area where food is prepared and cooked eat dinner. cloth woven from flax. Linens are fabric household goods intended for daily use, such as bedding, tablecloths and towels. ""Linens"" may also refer to church linens, meaning the altar cloths used in church."
528;280230;Sewing materials for slipcovers, curtains, other sewing materials for the home;Sewing materials for slipcovers, curtains, other sewing materials for the home In sewing and haberdashery, notions are small objects oraccessories, including items that are sewn or otherwise attached to a finished article, such as buttons, snaps, and collar stays. Notions also include the small tools used insewing, such as thread, pins, marking pens, and seam rippers. a loose cover, in particular a detachable cover for a chair or sofa. a piece of material suspended at the top to form a screen, typically movable sideways along a rail and found as one of a pair at a window. a screen of heavy cloth or other material that can be raised or lowered at the front of a stage.
529;280900;Other linens;"Other linens Linen /ˈlɪnɪn/is a textilemade from the fibers of the flax plant. Linen is laborious to manufacture, but the fiber is very absorbent and garments made of linen are valued for their exceptional coolness and freshness in hot weather.
Many products are made of linen: aprons, bags, towels (swimming, bath, beach, body and wash towels), napkins, bed linens, tablecloths, runners, chair covers, and men's and women's wear.
The word linen is of West Germanicorigin and cognate to the Latin name for the flax plant, linum, and the earlier Greek λινόν (linón). This word history has given rise to a number of other terms in English, most notably line, from the use of a linen (flax) thread to determine a straight line.[1]
Textiles in a linen weave texture, even when made of cotton, hemp and other non-flax fibers, are also loosely referred to as ""linen"". Such fabrics generally also have their own specific names, for example fine cotton yarn in a linen-style weave is called Madapolam.
The collective term ""linens"" is still often used generically to describe a class of woven or knitted bed, bath, table and kitchen textiles traditionally made of linen. In the past, ""linens"" also referred to lightweight undergarments such as shirts, chemises, waist-shirts, lingerie (a word also cognate with linen), and detachable shirt collars and cuffs, all of which were historically made almost exclusively out of linen. The inner layer of fine composite cloth garments (as for example jackets) was traditionally made of linen, hence the word lining.[2]
Linen textiles appear to be some of the oldest in the world: their history goes back many thousands of years. Fragments of straw, seeds, fibers, yarns, and various types of fabrics dating to about 8000 BC have been found in Swiss lake dwellings. Dyed flax fibers found in a prehistoric cave in Georgia suggest the use of woven linen fabrics from wild flax may date back even earlier to 36,000 BP.[3][4]
Linen was sometimes used as a form of currency in ancient Egypt. Egyptian mummies were wrapped in linen as a symbol of light and purity, and as a display of wealth. Some of these fabrics, woven from hand-spun yarns, were very fine for their day, but are coarse compared to modern linen.[5] In 1923 the German city Bielefeld issued banknotes printed on linen.[6] Today, linen is usually an expensive textile produced in relatively small quantities. It has a long ""staple"" (individual fiber length) relative to cotton and other natural fibers.[
"
530;300210;Washers;Washers A washing machine (laundry machine, clothes washer, or washer) is a device used to wash laundry. The term is mostly applied to machines that use water as opposed to dry cleaning(which uses alternative cleaning fluids, and is performed by specialist businesses) or ultrasonic cleaners. Laundry detergent is added to the wash water, and is sold in either powdered or liquid form.
531;310311;Radios;"Radios Radio is the technology of using radio waves to carry information, such as sound, by systematically modulatingproperties of electromagnetic energy waves transmitted through space, such as their amplitude, frequency, phase, or pulse width.[n 1]When radio waves strike an electrical conductor, the oscillating fields induce an alternating current in the conductor. The information in the waves can be extractedand transformed back into its original form.
Radio systems need a transmitter to modulate (change)some property of the energy produced to impress a signal on it, for example using amplitude modulation or angle modulation (which can be frequency modulation or phase modulation). Radio systems also need an antenna to convert electric currents into radio waves, and radio waves into an electric current. An antenna can be used for both transmitting and receiving. The electrical resonance of tuned circuits in radios allow individual frequencies to be selected. The electromagnetic wave is intercepted by a tuned receiving antenna. A radio receiver receives its input from an antenna and converts it into a form that is usable for the consumer, such as sound, pictures, digital data, measurement values, navigational positions, etc.[2] Radio frequencies occupy the range from a 3 kHz to 300 GHz, although commercially important uses of radio use only a small part of this spectrum.[3]
A radio communication system requires a transmitter and a receiver, each having an antenna and appropriate terminal equipment such as a microphone at the transmitter and a loudspeaker at the receiver in the case of a voice-communication system.
"
532;310313;Tape recorders and players;"Tape recorders and players cassette deck is a type of tape machine for playing and recording audio compact cassettes. Consumer electronics formerly used the term deck to distinguish them from a tape recorder, the ""deck"" being part of a stereo component system, while a ""tape recorder"" was more portable and usually had a self-contained power amplifier (and often speakers).
Although the two terms became used interchangeably, a recorder is typically thought of as a low-fidelity portable device, while a deck is considered a high fidelitycomponent.[1] An audio tape recorder, tape deckor tape machine is an analogaudio storagedevice that records and plays back sounds, including articulated voices, usually using magnetic tape, either wound on a reel or in a cassette, for storage. In its present-day form, it records a fluctuating signal by moving the tape across a tape head that polarizes the magnetic domains in the tape in proportion to the audio signal. Tape-recording devices include reel-to-reel tape deck and the cassette deck.
The use of magnetic tape for sound recording originated around 1930. Magnetizable tape revolutionized both the radio broadcast and music recording industries. It gave artists and producers the power to record and re-record audio with minimal loss in quality as well as edit and rearrange recordings with ease. The alternative recording technologies of the era, transcription discs and wire recorders, could not provide anywhere near this level of quality and functionality. Since some early refinements improved the fidelity of the reproduced sound, magnetic tape has been the highest quality analog sound recording medium available. As of the first decade of the 21st century, analog magnetic tape has been largely replaced by digital recording technologies for consumer purposes, although some still record audio by analog.
Prior to the development of magnetic tape, magnetic wire recorders had successfully demonstrated the concept of magnetic recording, but they never offered audio quality comparable to the other recording and broadcast standards of the time. Some individuals and organizations developed innovative uses for magnetic wire recorders while others investigated variations of the technology. One particularly important variation was the application of an oxide powder to a long strip of paper. This German invention was the start of a long string of innovations that have led to present day magnetic tape recordings.

"
533;310320;Sound components and component systems;Sound components and component systems A sound component produces a sound like this. - Loudness and pitch of sound - Sound Pressure Level (loudness of sound) Minimal loudness of soundperceived by human is defined as 0dB (20μPa).Sound pressure that Murata's sound componentproduces is approximately 70 to 90dB （measured in 10cm distance). a set of things working together as parts of a mechanism or an interconnecting network  a complex whole.
534;320220;Lamps and lighting fixtures;Lamps and lighting fixtures a device for giving light, either one consisting of an electric bulb together with its holder and shade or cover, or one burning gas or oil and consisting of a wick or mantle and a glass shade. equipment in a room, building, or street for producing light. a piece of equipment or furniture which is fixed in position in a building or vehicle.
535;320310;Plastic dinnerware;Plastic dinnerware dishes, utensils, and glassware used at table  tableware. a synthetic material made from a wide range of organic polymers such as polyethylene, PVC, nylon, etc., that can be moulded into shape while soft, and then set into a rigid or slightly elastic form. made of plastic.
536;320320;China and other dinnerware;China and other dinnerware a fine white or translucent vitrified ceramic material. dishes, utensils, and glassware used at table  tableware.
537;320340;Glassware;Glassware ornaments and articles made from glass. a hard, brittle substance, typically transparent or translucent, made by fusing sand with soda and lime and cooling rapidly. It is used to make windows, drinking containers, and other articles.
538;320350;Silver serving pieces;Silver serving pieces n a dish used for serving food. Types: tureen. large deep serving dish with a cover  for serving soups and stews. Type of: dish. a piece of dishware normally used as a container for holding or serving food. a precious shiny greyish-white metal, the chemical element of atomic number 47. he regard that something is held to deserve  the importance, worth, or usefulness of something.
539;320360;Other serving pieces;Other serving pieces n a dish used for serving food. Types: tureen. large deep serving dish with a cover  for serving soups and stews. Type of: dish. a piece of dishware normally used as a container for holding or serving food.
540;320620;Permanent hard surface floor covering;"Permanent hard surface floor covering  cover with asphalt or a similar surface  ""hard-surface roads""
pave - cover with a material such as stone or concrete tomake suitable for vehicle traffic  ""pave the roads in thevillage” Flooring is the general term for a permanent covering of a floor, or for the work of installing such a floor covering. Floor covering is a term to generically describe any finish material applied over a floor structure to provide a walking surface. Both terms are used interchangeably but floor covering refers more to loose-laid materials.
Materials almost always classified as flooring include carpet, laminate, tile and vinyl.

"
541;360340;Men''s sweaters and vests;Mens sweaters and vests male Mens shirts male an adult human male. a human being of either sex  a person.a knitted garment worn on the upper body, typically with long sleeves, put on over the head. 
542;360410;Men''s shirts;Mens shirts male an adult human male. a human being of either sex  a person. a garment for the upper body made of cotton or a similar fabric, with a collar and sleeves, and with buttons down the front. items worn to cover the body.
543;370120;Boys'' sweaters;Boys sweaters Boys shirts a male child or youth a knitted garment worn on the upper body, typically with long sleeves, put on over the head. items worn to cover the body.
544;370130;Boys'' shirts;Boys shirts a male child or youth. a garment for the upper body made of cotton or a similar fabric, with a collar and sleeves, and with buttons down the front. a shirt-like garment made of stretchable material, typically having a short row of buttons at the neck, worn as casual wear or for sports. items worn to cover the body.
545;380312;Women''s vests and sweaters;Women''s vests and sweaters an undergarment worn on the upper part of the body, typically having no sleeves. a garment worn on the upper part of the body for a particular purpose. a knitted garment worn on the upper body, typically with long sleeves, put on over the head. an employer who works employees hard in poor conditions for low pay. plural form of woman. items worn to cover the body.
546;380313;Women''s shirts, tops, blouses;"Women''s shirts, tops, blouses women's clothing that has a fitted top and a flared skirt that is widest at the hemline. bandeau, bra, brassiere. an undergarment worn by women to support their breasts. dress, frock. a one-piece garment for a woman  has skirt and bodice. a garment for the upper body made of cotton or a similar fabric, with a collar and sleeves, and with buttons down the front. a shirt-like garment made of stretchable material, typically having a short row of buttons at the neck, worn as casual wear or for sports. a woman's upper garment resembling a shirt, typically with a collar, buttons, and sleeves.
"
547;420110;Material for making clothes;"Material for making clothes Historically, clothing is and has been made from many materials. These materials are range from grasses to furs to much more elaborate and exotic materials. Some cultures, such as the various people of the Arctic Circle, until recently, made their clothing entirely of prepared and decorated furs and skins. Other cultures have supplemented and replaced leather and skins with cloth. Cloth is either woven or knitted and can be made from a large variety of fibers, which in turn can be natural, cellulose, or synthetic.
Humans have shown extreme inventiveness in devising clothing solutions to environmental hazards and the distinction between clothing and other protective equipment is not always clear-cut  examples include space suit, air conditioned clothing, armor, diving suit, swimsuit, bee-keeper's protective clothing, motorcycle leathers, high-visibility clothing, and protective clothing in general.
"
548;420120;Sewing patterns and notions;"Sewing patterns and notions In sewing and fashion design, a pattern is the template from which the parts of a garment are traced onto fabric before being cut out and assembled. Patterns are usually made of paper, and are sometimes made of sturdier materials like paperboard or cardboard if they need to be more robust to withstand repeated use. The process of making or cutting patterns is sometimes condensed to the one-word Patternmaking, but it can also be written pattern(-)making or pattern cutting.
A sloper pattern (home sewing) or block pattern(industrial production) is a custom-fitted, basic pattern from which patterns for many different styles can be developed. The process of changing the size of a finished pattern is called grading.
Several companies specialize in selling pre-graded patterns directly to consumers who will sew the patterns at home. Commercial clothing manufacturers make their own patterns in-house as part of their design and production process, usually employing at least one specialized patternmaker. In bespoke clothing, slopers and patterns must be developed for each client, while for commercial production, patterns will be made to fit several standard body sizes.In sewing and haberdashery, notions are small objects or accessories, including items that are sewn or otherwise attached to a finished article, such as buttons, snaps, and collar stays. Notions also include the small tools used insewing, such as thread, pins, marking pens, and seam rippers."
549;460902;Used motorcycles;Used motorcycles a motor vehicle similar to a bicycle but usually larger and heavier, chiefly for one rider but sometimes having two saddles or an attached sidecar for passengers. verb (used without object), motorcycled, motorcycling. 2. to ride on or operate amotorcycle. Origin of motorcycle A used car, a pre-owned vehicle, or a secondhand car, is a vehicle that has previously had one or more retail owners. Used cars are sold through a variety of outlets, including franchise and independent car dealers, rentalcar companies, leasing offices, auctions, and private party sales.
550;480214;Vehicle audio equipment;"Vehicle audio equipment Vehicle audio is equipment installed in a car or other vehicle to provide in-car entertainment and information for the vehicle occupants. Until the 1950s it consisted of a simple AM radio. Additions since then have included FM radio (1952), CD players (1984), navigation systems, Bluetooth telephone integration, and smartphone controllers like CarPlay and Android Auto. Once controlled from the dashboard with a few buttons, they can now be controlled by steering wheel controls and voice commands.
Initially implemented for listening to music and radio, vehicle audio is now part of car telematics, telecommunication, in-vehicle security, handsfree calling, navigation, and remote diagnostics systems. It is also used to create fake engine noise.[1] For the 2015 Ford MustangEcoBoost, an ""Active Noise Control"" system was developed that amplifies the engine sound through the car speakers. A similar system is used in the F-150 pickup truck. Volkswagen uses a Soundaktor, a special speaker to play sounds in cars such as the Golf GTi and Beetle Turbo. BMW plays a recorded sample of its motors through the car speakers, using a different samples according to the engine’s load and power.
"
551;490211;Clutch, transmission repair;"Clutch, transmission repair A clutch is a mechanical device which engages and disengages power transmission especially from driving shaft to driven shaft.
In the simplest application, clutches connect and disconnect two rotating shafts (drive shafts or line shafts). In these devices, one shaft is typically attached to an engine or other power unit (the driving member) while the other shaft (the driven member) provides output power for work. While typically the motions involved are rotary, linear clutches are also possible.
In a torque-controlled drill, for instance, one shaft is driven by a motor and the other drives a drill chuck. The clutch connects the two shafts so they may be locked together and spin at the same speed (engaged), locked together but spinning at different speeds (slipping), or unlocked and spinning at different speeds (disengaged). A transmission is a machine in a power transmission system, which provides controlled application of the power. Often the term transmission refers simply to the gearboxthat uses gears and gear trains to provide speed and torque conversions from a rotating power source to another device.[1][2]
In British English, the term transmission refers to the whole drivetrain, including clutch, gearbox, prop shaft (for rear-wheel drive), differential, and final drive shafts. In AmericanEnglish, however, the term refers more specifically to the gearbox alone, and detailed usage differs.[note 1]
The most common use is in motor vehicles, where the transmission adapts the output of the internal combustion engine to the drive wheels. Such engines need to operate at a relatively high rotational speed, which is inappropriate for starting, stopping, and slower travel. The transmission reduces the higher engine speed to the slower wheel speed, increasing torque in the process. Transmissions are also used on pedal bicycles, fixed machines, and where different rotational speeds and torques are adapted.
Often, a transmission has multiple gear ratios (or simply ""gears"") with the ability to switch between them as speed varies. This switching may be done manually (by the operator) or automatically. Directional (forward and reverse) control may also be provided. Single-ratio transmissions also exist, which simply change the speed and torque (and sometimes direction) of motor output.
In motor vehicles, the transmission generally is connected to the engine crankshaft via a flywheel or clutch or fluid coupling, partly because internal combustion engines cannot run below a particular speed. The output of the transmission is transmitted via the driveshaft to one or more differentials, which drives the wheels. While a differential may also provide gear reduction, its primary purpose is to permit the wheels at either end of an axle to rotate at different speeds (essential to avoid wheel slippage on turns) as it changes the direction of rotation.
Conventional gear/belt transmissions are not the only mechanism for speed/torque adaptation. Alternative mechanisms include torque converters and power transformation (e.g. diesel-electric transmission and hydraulic drive system). Hybrid configurations also exist. Automatic transmissions use a valve body to shift gears using fluid pressures in conjunction with an ecm.

"
552;490212;Drive shaft and rear-end repair;"Drive shaft and rear-end repair A drive shaft, driveshaft, driving shaft, propeller shaft(prop shaft), or Cardan shaft is a mechanical component for transmitting torque and rotation, usually used to connect other components of a drive train that cannot be connected directly because of distance or the need to allow for relative movement between them.
As torque carriers, drive shafts are subject to torsion and shear stress, equivalent to the difference between the input torque and the load. They must therefore be strong enough to bear the stress, whilst avoiding too much additional weight as that would in turn increase their inertia.
To allow for variations in the alignment and distance between the driving and driven components, drive shafts frequently incorporate one or more universal joints, jaw couplings, or rag joints, and sometimes a splined joint or prismatic joint. A bumper is a structure attached to or integrated with the front and rear ends of a motor vehicle, to absorb impact in a minor collision, ideally minimizing repair costs.[1]Invented by Briton Frederick Simmsin 1901,[2]bumpers ideally minimize height mismatches between vehicles and protect pedestrians from injury. Regulatory measures have been enacted to reduce vehicle repair costs, and more recently impact on pedestrians.
"
553;490220;Brake work (old);Brake work (old) A brake is a mechanical devicethat inhibits motion by absorbing energy from a moving system.[1]It is used for slowing or stopping a moving vehicle, wheel, axle, or to prevent its motion, most often accomplished by means of friction.
554;490232;Repair to engine cooling system;Repair to engine cooling system (mechanical engineering) Controlling the temperature of internal combustion engine parts to prevent overheating and to maintain all operating dimensions, clearances, and alignment by a circulating coolant, oil, and a fan. restore (something damaged, faulty, or worn) to a good condition.
555;490411;Exhaust system repair;"Exhaust system repair An exhaust system is usually piping used to guide reaction exhaust gasesaway from a controlled combustion inside an engine or stove. The entire system conveys burnt gases from the engine and includes one or more exhaust pipes. Depending on the overall system design, the exhaust gas may flow through one or more of:
	•	Cylinder headand exhaust manifold
	•	A turbocharger to increase engine power.
	•	A catalytic converter to reduce air pollution.
	•	A muffler (North America) / silencer (UK/India), to reduce noise.
"
556;490412;Electrical system repair;Electrical system repair An electrician is a tradesman specializing in electrical wiring of buildings, stationary machines, and related equipment. Electricians may be employed in the installationof new electrical components or the maintenance and repair of existing electricalinfrastructure. a set of things working together as parts of a mechanism or an interconnecting network  a complex whole. concerned with, operating by, or producing electricity. a form of energy resulting from the existence of charged particles (such as electrons or protons), either statically as an accumulation of charge or dynamically as a current.
557;490413;Motor repair, replacement;Motor repair, replacement restore (something damaged, faulty, or worn) to a good condition.a machine, especially one powered by electricity or internal combustion, that supplies motive power for a vehicle or for another device with moving parts. the action or process of replacing someone or something.
558;520511;Auto rental;"Auto rental A car rental, hire car, or car hire agency is a company that rents automobiles for short periods of time, generally ranging from a few hours to a few weeks. It is often organized with numerous local branches (which allow a user to return a vehicle to a different location), and primarily located near airports or busy city areas and often complemented by a website allowing online reservations.
Car rental agencies primarily serve people who require a temporary vehicle, for example, those who do not own their own car, travelers who are out of town, or owners of damaged or destroyed vehicles who are awaiting repair or insurance compensation. Car rental agencies may also serve the self-moving industry needs, by renting vans or trucks, and in certain markets, other types of vehicles such as motorcycles or scooters may also be offered.
Alongside the basic rental of a vehicle, car rental agencies typically also offer extra products such as insurance, global positioning system (GPS) navigation systems, entertainment systems, mobile phones, portable WiFi and child safety seats.
"
